,PSNR
0,33.64180409022643
1,34.49079482662271
2,34.65707673708651
3,33.96829247859102
4,34.740254306401944
5,34.81093274406674
6,36.57215580168289
7,36.606456367249976
8,35.29383535674686
9,35.28638689931102
10,36.0130053816132
11,34.696016302499494
12,35.28344670174993
13,35.36066179307578
14,35.5003187620214
15,35.51075256383946
16,35.48926921623315
17,37.65408030000682
18,37.394048998538466
19,37.44876827117742
20,36.294556372395284
21,35.89226453166266
22,36.40046691172916
23,36.801972232624806
24,36.60481982533831
25,33.964049724977606
26,34.242937874875835
27,34.88346690154754
28,35.19874326418448
29,34.44839833809769
30,34.5493796205983
31,36.44581392072207
32,36.448427758010205
33,36.56719495809331
34,32.58834350839568
35,33.933800947895655
36,33.906127552050606
37,33.08959317583676
38,33.67884997551333
39,33.44227822831062
40,33.27523416015049
41,33.220442281550916
42,33.139555233497205
43,36.460598730382976
44,36.52704636218529
45,36.488762019886025
46,36.65168889113183
47,37.3833335527905
48,36.791678805931184
49,37.06050349681629
50,36.87201756904533
51,37.336828900768346
52,36.0115023802415
53,35.82795110646968
54,36.28953178480739
55,36.118402076280695
56,36.47162320454554
57,35.248784176333274
58,36.226996198243256
59,36.2718650304759
60,36.470568969063194
61,36.808552336310285
62,36.29453895456164
63,36.84111696039793
64,36.675116941656746
65,35.7905158398012
66,33.71528228392036
67,34.240083674395805
68,34.08511460683891
69,36.8289319440592
70,36.96302098980673
71,37.32839956405334
72,36.903069379307176
73,37.90959470991475
74,37.98907526052315
75,38.82334427520181
76,33.2169625469615
77,36.61131585694857
78,33.838863914379175
79,33.867934227076915
80,34.26735746815106
81,34.541775693297886
82,34.559108198669726
83,34.51910754092124
84,34.52025949259804
85,34.63961455799631
86,34.14257576894948
87,31.180384934134782
88,36.49406570322399
89,36.330400125258954
90,37.122322470099185
91,36.835449781989325
92,33.83344420764268
93,33.35011987643025
94,33.2083542477225
95,33.11603413255332
96,33.07487431185047
97,36.08673040505245
98,36.91760085029064
99,36.3623817819718
